0.6076,0.7045,0.2319,0.0800,1
0.6835,0.7727,0.2174,0.1600,1
0.6582,0.9318,0.2174,0.0400,1
0.6962,0.9545,0.2029,0.0800,1
0.6203,0.7045,0.2174,0.0400,1
0.6329,0.7273,0.1739,0.0800,1
0.6962,0.7955,0.1884,0.0800,1
0.6203,0.7045,0.2174,0.0400,1
0.5570,0.6818,0.1884,0.0800,1
0.6456,0.7727,0.2174,0.0800,1
0.6329,0.7955,0.1884,0.1200,1
0.5696,0.5227,0.1884,0.1200,1
0.5570,0.7273,0.1884,0.0800,1
0.6329,0.7955,0.2319,0.2400,1
0.6456,0.8636,0.2754,0.1600,1
0.6076,0.6818,0.2029,0.1200,1
0.6456,0.8636,0.2319,0.0800,1
0.5823,0.7273,0.2029,0.0800,1
0.6709,0.8409,0.2174,0.0800,1
0.6329,0.7500,0.2029,0.0800,1
0.6962,0.5455,0.5507,0.4400,2
0.6962,0.5455,0.5362,0.4000,2
0.7342,0.6136,0.5652,0.4800,2
0.7595,0.6136,0.7391,0.6400,2
0.6835,0.6818,0.6522,0.6000,2
0.7595,0.7727,0.6522,0.6400,2
0.8481,0.7045,0.6812,0.6000,2
0.7975,0.5227,0.6377,0.5200,2
0.7089,0.6818,0.5942,0.5200,2
0.6962,0.5682,0.5797,0.5200,2
0.6962,0.5909,0.6377,0.4800,2
0.7722,0.6818,0.6667,0.5600,2
0.7342,0.5909,0.5797,0.4800,2
0.6329,0.5227,0.4783,0.4000,2
0.7089,0.6136,0.6087,0.5200,2
0.7215,0.6818,0.6087,0.4800,2
0.7215,0.6591,0.6087,0.5200,2
0.7848,0.6591,0.6232,0.5200,2
0.6456,0.5682,0.4348,0.4400,2
0.7215,0.6364,0.5942,0.5200,2
0.9367,0.6364,0.8841,0.7600,3
1.0000,0.8636,0.9275,0.8000,3
0.8101,0.6364,0.8116,0.8800,3
0.7975,0.6364,0.7391,0.6000,3
0.7722,0.5909,0.8116,0.5600,3
0.9747,0.6818,0.8841,0.9200,3
0.7975,0.7727,0.8116,0.9600,3
0.8101,0.7045,0.7971,0.7200,3
0.7595,0.6818,0.6957,0.7200,3
0.8734,0.7045,0.7826,0.8400,3
0.8481,0.7045,0.8116,0.9600,3
0.8734,0.7045,0.7391,0.9200,3
0.7342,0.6136,0.7391,0.7600,3
0.8608,0.7273,0.8551,0.9200,3
0.8481,0.7500,0.8261,1.0000,3
0.8481,0.6818,0.7536,0.9200,3
0.7975,0.5682,0.7246,0.7600,3
0.8228,0.6818,0.7536,0.8000,3
0.7848,0.7727,0.7826,0.9200,3
0.7468,0.6818,0.7391,0.7200,3
